Date;SM-BO;SM-MZ;MAT-NIF;SFA;DSP;C2 Sup;C4 inf;C5 supA;C5 inf;C6 s+m;C6 inf;BPL;MgO;Fe2O3;SiO2;CO2;BPL;MgO;Fe2O3;SiO2;CO2
17-mai;;53;25;;;;; -     ;22; -     ; -     ;49.44;1.33;;14.31;10.14;50.85;1.2;;13.47;8.07
18-mai;;49;24;;;;;7;19; -     ; -     ;49.3;1.32;;14.42;10.16;49.71;1.31;;14.24;10.07
19-mai;;62;24;;;;;3;11; -     ; -     ;49.43;1.26;;14.89;9.73;46.63;1.28;;14.18;11.2
20-mai;;62;24;;;;;3;11; -     ; -     ;49.43;1.26;;14.89;9.73;50.42;1.28;;14.05;10.03
21-mai;;71;27;;;;; -     ;3; -     ; -     ;50.59;1.32;;13.26;9.99;51.2;1.67;;13.96;9.83
22-mai;;69;17;;;;;6;7; -     ; -     ;51.07;1.32;;12.24;10.02;49.43;1.57;;13.55;9.83
23-mai;;56;30;;;;;2;13; -     ; -     ;49.67;1.32;;14.74;9.88;50.74;1.33;;14;9.43
24-mai;;60;22;;;;; -     ;18; -     ; -     ;50.17;1.39;;14.5;9.87;47.88;1.17;;13.94;10.43
25-mai;;54;28;;;;; -     ;18; -     ; -     ;48.41;1.47;;14.1;10.6;53.74;1.3;;14.5;9.09
26-mai;;44;28;;;;;7;21; -     ; -     ;48.44;1.54;;12.64;11.14;50.7;1.61;;13.78;9.43
27-mai;;47;35;;;;;8;10; -     ; -     ;48.32;1.51;;12.35;11.6;48.88;1.54;;12.97;10.44
28-mai;;48;19;;;;;20;13; -     ; -     ;49.54;1.49;;11.69;11.12;50.89;1.2;;14.78;9.09
29-mai;;44;29;;;;;17;10; -     ; -     ;48.84;1.5;;11.26;11.52;53.61;1.65;;12.06;9.43
30-mai;;46;21;;;;;18;15; -     ; -     ;49.41;1.52;;11.47;11.24;51.41;1.3;;15.26;8.52
31-mai;;55;30;;;;;9;6; -     ; -     ;49.95;1.53;;11.95;10.46;52.25;1.44;;12.48;9.77
1-juin;;58;32;;;;;;10;0;0;50.18;1.46;;14.48;11.27;47;1.6;;13.62;10.84
2-juin;;62;30;;;;;;6;4;0;50.24;1.44;;14.7;10.38;51.65;1.78;;14.07;10.44
3-juin;;70;24;;;;;;6;0;0;49.35;1.57;;15.58;10.77;46.72;1.91;;16.27;9.98
4-juin;;61;30;;;;;;0;9;0;48.46;1.39;;16.73;10.54;49.27;1.69;;14;10.44
5-juin;;56;32;;;;;;0;12;0;;;;;;46.06;1.9;;16.22;10.97
6-juin;;18;33;;;;;;8;0;41;48.15;1.62;;18.5;9.59;44.71;1.46;;14.92;12.12
7-juin;;62;21;;;;;;12;0;5;49.13;1.48;;16.13;10.19;46.89;1.52;;17.42;9.85
8-juin;;68;5;;;;;;17;0;10;51.14;1.46;;15.6;9.7;51.83;1.12;;13.3;9.52
9-juin;;70;9;;;;;11;10;0;0;49.68;1.52;;11.85;10.25;50.08;1.07;;14.92;9.82
10-juin;;62;6;;;;;32;;0;0;49.81;1.63;;8.51;9.36;51.36;1.24;;13.51;9.36
11-juin;;58;17;;;;;25;;0;0;49.12;1.46;;8.64;10.33;49.69;1.8;;12.78;11.66
12-juin;;74;;;;;;26;;0;0;50.55;1.53;;9.31;9.46;50.16;1.2;;11.89;10.44
13-juin;;18;38;;;;;;40;0;4;50.7;1.48;;9.34;9.39;50.95;1.79;;13.25;11.46
14-juin;;51;;;;;;;25;8;16;51.64;1.4;;7.66;8.94;53.8;1.43;;13.41;7.93
15-juin;;52;;;;;;;18;29;0;51.61;1.56;;12.06;10.62;53.18;1.57;;14.04;8.16
