,SM-MZ,BPL,MgO,Fe2O3,SiO2,CO2,BPLnif,MgOnif,Fe2O3nif,SiO2nif,CO2nif
49,43,52.83,1.59,0,12.58,8.87,50.72,1.73,0.32,12.53,8.09
"(nan, nan)",14,54.9,1.43,3.51,13.67,7.65,54.37,1.36,0.0,13.51,0
227,19,52.89,1.47,0,12.28,8.31,59.81,1.06,0.0,14.02,6.11
"(nan, nan)",4,53.81,1.5,0,13.69,7.39,52.65,1.41,0.0,15.61,8.65
338,2,52.32,1.64,0,13.61,8.21,55.39,1.36,0.0,11.59,8.29
326,10,51.84,1.71,0,13.8,8.54,54.24,1.68,0.0,14.71,8.31
261,18,51.79,1.5,0,14.53,9.42,50.3,1.43,0.0,17.24,7.24
146,48,49.54,1.49,0,11.69,11.12,50.89,1.2,0.0,14.78,9.09
"(nan, nan)",17,52.49,1.59,0,12.96,8.47,55.76,1.72,0.0,12.48,8.06
215,14,52.44,1.65,0,11.62,9.23,57.5,1.47,0.0,12.64,7.94
"(nan, nan)",12,52.3,1.62,0,11.63,9.46,54.81,1.58,0.0,13.13,8.33
56,49,51.72,1.63,0,13.22,8.32,52.23,1.85,0.0,14.04,9.08
268,16,50.65,1.71,0,14.31,10.05,52.11,1.4,0.0,18.8,7.52
"(nan, nan)",1,53.81,1.45,0,12.74,8.98,55.59,1.29,0.0,13.57,7.58
334,3,53.46,1.55,0,13.47,8.45,53.6,1.34,0.0,14.15,8.45
"(nan, nan)",12,53.8,1.56,3,14.18,8.03,0,0,0.0,0,0
40,43,52.99,1.6,0,12.71,8.84,53.01,1.14,0.31,13.77,8.34
23,30,53.77,1.49,0,12.08,8.84,58.25,1.6,0.31,11.27,7.79
350,9,51.02,1.66,0,13.86,8.75,55.82,1.35,0.0,17.87,5.87
208,29,52.99,1.49,0,12.17,7.36,53.22,1.78,0.0,13.04,9.96
353,5,53.64,1.52,0,11.35,8.62,52.84,1.27,0.0,11.66,9.84
"(nan, nan)",12,52.3,1.62,0,11.63,9.46,54.81,1.58,0.0,13.13,8.33
94,94,49.4,1.48,0,18.16,8.98,47.38,1.84,0.31,17.7,9.84
"(nan, nan)",25,52.93,1.79,0,12.78,9,54.12,1.5,0.0,13.29,0
"(nan, 'Fevrier')",18,53.89,1.69,0,13.38,4.4,55.31,1.66,0.0,12.23,8.19
"(nan, nan)",16,53.12,1.65,0,12.03,8.84,54.4,1.62,0.0,12.74,9.06
32,28,53.8,1.32,0,12.5,7.72,58.1,1.11,0.27,0,6.83
"(nan, nan)",19,51.25,1.75,0,13.12,10.48,52.85,1.69,0.0,12.04,8.6
299,28,51.31,1.64,0,13.86,10.05,52.09,1.89,0.0,12.47,9.84
75,33,53.13,1.55,0,11.43,8.18,52.12,2.09,0.34,13.35,9.22
75,33,53.13,1.55,0,11.43,8.18,52.12,2.09,0.34,13.35,9.22
245,5,52.38,1.48,0,12.74,8.7,54.63,1.49,0.0,13.75,8.7
"(nan, nan)",19,52.07,1.55,0,14.32,8.14,53.74,1.93,0.0,13.36,8.32
"(nan, nan)",0,52.37,1.46,0,13.93,9.56,53.58,1.56,0.0,14.07,8.53
"(nan, nan)",27,53.28,1.83,3.68,13.03,8.02,50.78,1.9,0.0,12.46,0
336,12,52.17,1.65,0,13.77,8.48,53.6,1.6,0.0,13.89,8.48
"(nan, nan)",14,55.13,1.6,0,13.01,8.05,53.37,1.8,0.0,11.67,0
345,8,51.19,1.6,0,14.3,8.79,54.28,1.26,0.0,11.5,8.78
346,3,50.98,1.61,0,14.24,8.76,52.37,1.18,0.0,13.64,9.46
25,37,53.49,1.5,0,13.57,8.13,58.23,1.46,0.31,10.43,7.04
127,52,48.59,1.29,0,15.24,10.75,48.28,1.29,0.0,13.9,12.04
211,29,52.91,1.37,0,11.61,7.52,57.43,1.25,0.0,11.55,8.46
62,53,52.06,1.48,0,13.37,8.32,51.79,1.63,0.31,15.04,9.26
190,2,54.56,1.48,0,11.54,9.04,55.6,1.58,0.0,10.4,9.88
"(nan, nan)",8,54.06,1.61,3.3,11.61,8.22,52.39,1.82,0.0,9.12,0
321,4,51.82,1.69,0,14.52,8.44,55.37,1.34,0.0,12.81,7.24
108,84,47.78,1.26,0,15.05,11.73,46.73,1.52,0.31,18.22,10.55
39,34,53.07,1.55,0,12.59,8.74,51.95,1.68,0.28,14.37,8.4
142,60,50.17,1.39,0,14.5,9.87,47.88,1.17,0.0,13.94,10.43
66,35,52.96,1.35,0,15.24,7.51,52.8,1.55,0.0,13.62,8.62
"(nan, nan)",1,53.82,1.64,0,11.48,7.89,54.41,1.14,0.0,12.83,0
220,15,52.38,1.6,0,11.95,9.06,52.29,1.5,0.0,12.84,9.33
98,82,47.97,1.86,0,17.94,9.53,43.87,1.79,0.32,17.98,11.71
83,36,50.44,1.73,0,12.58,10.85,49.43,1.92,0.33,12.21,11.32
"(nan, nan)",12,53.8,1.56,3,14.18,8.03,0,0,0.0,0,0
"(nan, nan)",9,54.3,1.37,0,13.04,6.07,51.11,1.68,0.0,17.04,8.44
42,43,53.34,1.58,0,12.96,8.61,56.77,1.17,0.3,0,7.35
143,54,48.41,1.47,0,14.1,10.6,53.74,1.3,0.0,14.5,9.09
24,27,53.67,1.43,0,13.12,8.39,59.39,1.5,0.32,10.86,7.24
70,39,53.72,1.02,0,12.71,7.15,56.39,1.28,0.28,13.11,7.36
"(nan, nan)",14,54.14,1.83,0,12.87,3.75,53.78,2.1,0.0,10.4,2.1
245,5,52.38,1.48,0,12.74,8.7,54.63,1.49,0.0,13.75,8.7
87,52,51.89,1.95,0,10.64,9.51,51.81,1.71,0.3,14.63,9.29
159,62,49.81,1.63,0,8.51,9.36,51.36,1.24,0.0,13.51,9.36
188,15,52.52,1.56,0,11.98,6.57,53.6,1.66,0.0,10.9,10.69
119,63,48.17,1.23,0,15.94,9.6,49.37,1.08,0.29,17.18,12.21
146,48,49.54,1.49,0,11.69,11.12,50.89,1.2,0.0,14.78,9.09
289,27,51.01,1.79,0,13.24,11.37,55.28,1.79,0.0,10.62,9.33
197,17,53.27,1.57,0,11.94,9.28,56.37,1.24,0.0,13.92,7.45
"(nan, nan)",14,53.44,1.65,3.49,11.46,8.49,52.57,1.47,0.0,12.96,0
158,70,49.68,1.52,0,11.85,10.25,50.08,1.07,0.0,14.92,9.82
303,31,52.22,1.58,0,14.45,8.17,49.87,1.9,0.0,16.35,9.77
112,69,46.65,1.42,0,18.38,9.84,48.75,1.04,0.0,17.17,9.26
191,12,52.9,1.58,0,13.07,9.41,54.77,1.61,0.0,11.39,8.93
230,6,53.02,1.46,0,12.91,8.76,58.4,1.23,0.0,12.79,7.33
179,65,52.09,1.32,0,8.99,9.97,53.09,1.37,0.0,11.78,8.29
7,54,52.48,1.29,0,11.12,8.73,51.75,1.32,0.31,12.4,9.35
42,43,53.34,1.58,0,12.96,8.61,56.77,1.17,0.3,0,7.35
205,28,51.89,1.38,0,14.44,8.13,53.88,1.67,0.0,14.81,8.14
309,1,53.17,1.41,0,14.79,7.75,52.96,1.71,0.0,0,11.27
"(nan, nan)",21,54.17,1.55,0,11.75,7.99,57.17,1.54,0.0,11.17,0
178,73,53.12,1.43,0,9.77,9.54,52.7,1.55,0.0,11.62,9.66
345,8,51.19,1.6,0,14.3,8.79,54.28,1.26,0.0,11.5,8.78
188,15,52.52,1.56,0,11.98,6.57,53.6,1.66,0.0,10.9,10.69
102,81,48.72,1.86,0,18.31,9.05,47.55,1.29,0.31,15.0,10.48
40,43,52.99,1.6,0,12.71,8.84,53.01,1.14,0.31,13.77,8.34
323,19,51.72,1.56,0,14.44,8.25,56.23,1.67,0.0,13.1,9.05
"(nan, nan)",14,55.13,1.6,0,13.01,8.05,53.37,1.8,0.0,11.67,0
"(nan, nan)",14,55.13,1.6,0,13.01,8.05,53.37,1.8,0.0,11.67,0
"(nan, nan)",0,52.41,1.47,0,13.91,9.54,50.47,1.44,0.0,14.4,8.43
166,48,50.3,1.4,0,13.52,10.44,52.26,1.23,0.0,13.42,9.57
353,5,53.64,1.52,0,11.35,8.62,52.84,1.27,0.0,11.66,9.84
144,44,48.44,1.54,0,12.64,11.14,50.7,1.61,0.0,13.78,9.43
75,33,53.13,1.55,0,11.43,8.18,52.12,2.09,0.34,13.35,9.22
355,11,52.13,1.59,0,12.62,9.08,54.85,1.06,0.0,11.59,8.88
53,35,53.07,1.54,0,14.05,8.2,52.25,1.39,0.3,13.34,7.98
149,55,49.95,1.53,0,11.95,10.46,52.25,1.44,0.0,12.48,9.77
362,14,51.26,1.75,0,11.82,9.93,52.3,1.76,0.0,11.1,9.67
"(nan, nan)",12,52.3,1.62,0,11.63,9.46,54.81,1.58,0.0,13.13,8.33
"(nan, nan)",15,52,1.81,3.29,11.47,8.64,52.84,1.58,0.0,10.92,0
46,52,52.98,1.67,0,12.77,8.8,54.47,1.47,0.3,13.44,7.86
139,71,50.59,1.32,0,13.26,9.99,51.2,1.67,0.0,13.96,9.83
"(nan, nan)",14,53.43,1.67,3.52,12.74,8.52,53.77,1.53,0.0,12.37,0
"(nan, nan)",3,52.41,1.58,0,13.22,8.74,56.76,1.6,0.0,11.08,8.77
310,3,51.99,1.49,0,15.34,8.26,53.35,1.74,0.0,10.25,13.21
206,32,52.95,1.41,0,14.91,7.59,51.96,1.79,0.0,14.47,9.0
210,14,51.36,1.57,0,11.88,9.19,53.65,1.67,0.0,11.93,8.03
"(nan, nan)",24,54.83,1.5,0,11.41,6.82,55.68,1.53,0.0,12.41,7.84
64,51,52.3,1.38,0,14.4,7.73,53.68,1.5,0.28,15.44,7.71
"(nan, nan)",5,54.13,1.67,2.98,13.37,8.11,0,0,0.0,0,0
307,10,51.84,1.55,0,14.04,8.71,53.88,1.7,0.0,0,8.39
310,3,51.99,1.49,0,15.34,8.26,53.35,1.74,0.0,10.25,13.21
"(nan, nan)",8,54.06,1.61,3.3,11.61,8.22,52.39,1.82,0.0,9.12,0
256,30,51.35,1.68,0,13.93,9.47,54.63,1.7,0.0,15.32,7.25
270,23,49.41,2.01,0,13.94,11.06,51.36,1.68,0.0,13.65,8.89
302,29,50.38,1.69,0,14.1,10.58,51.92,1.9,0.0,14.54,8.92
"(nan, nan)",14,52.8,1.75,0,12.57,5.87,52.51,1.81,0.0,14.65,8.74
212,43,51.03,1.61,0,12.44,7.81,54.35,1.42,0.0,12.11,7.97
"(nan, nan)",8,52.19,1.61,0,14.46,8.66,52.22,1.52,0.0,14.89,8.81
52,40,53.19,1.42,0,14.07,8.05,53.99,1.44,0.31,14.88,7.57
67,34,53.39,1.29,0,13.83,7.47,52.01,1.51,0.31,15.91,8.08
55,42,52.86,1.46,0,13.98,8.17,52.43,1.15,0.0,15.64,7.25
115,67,47.74,1.42,0,16.71,10.08,48.96,1.0,0.32,16.35,9.13
337,14,52.08,1.59,0,14.29,8.29,53.51,1.59,0.0,11.46,8.6
74,41,52.88,1.49,0,11.74,8.18,51.07,1.96,0.33,13.71,9.09
126,30,47.32,1.32,0,14.91,11.12,44.83,1.54,0.32,17.12,11.09
"(nan, nan)",10,54.68,1.59,0,10.44,7.56,51.11,1.24,0.0,15.13,8.11
"(nan, nan)",7,53.44,1.73,3.33,12.56,8.06,52.99,1.94,0.0,11.27,0
230,6,53.02,1.46,0,12.91,8.76,58.4,1.23,0.0,12.79,7.33
70,39,53.72,1.02,0,12.71,7.15,56.39,1.28,0.28,13.11,7.36
113,70,47.91,1.36,0,16.07,9.52,46.89,1.32,0.0,21.49,9.13
193,16,52.15,1.58,0,12.67,9.55,50.07,1.88,0.0,12.84,9.39
268,16,50.65,1.71,0,14.31,10.05,52.11,1.4,0.0,18.8,7.52
47,47,53.23,1.6,0,12.88,8.64,53.0,1.52,0.29,14.08,7.49
59,35,52.99,1.39,0,13.36,7.9,50.17,2.1,0.3,12.86,8.28
"(nan, nan)",6,52.74,1.6,0,12.33,9,54.79,1.59,0.0,14.84,7.17
65,24,53.23,1.4,0,14.91,7.52,55.06,1.38,0.29,14.04,6.9
142,60,50.17,1.39,0,14.5,9.87,47.88,1.17,0.0,13.94,10.43
"(nan, nan)",33,53.79,1.63,0,11.71,8.31,57.46,1.41,0.0,10.92,8.01
"(nan, nan)",31,51.89,1.57,0,12.91,8.92,55.96,1.76,0.0,11.36,8.16
303,31,52.22,1.58,0,14.45,8.17,49.87,1.9,0.0,16.35,9.77
345,8,51.19,1.6,0,14.3,8.79,54.28,1.26,0.0,11.5,8.78
178,73,53.12,1.43,0,9.77,9.54,52.7,1.55,0.0,11.62,9.66
175,74,52.75,1.75,0,11.26,10.66,50.72,1.82,0.0,10.64,11.32
51,28,53.57,1.46,0,13.65,7.79,53.99,1.41,0.33,13.44,7.52
"(nan, nan)",9,54.36,1.47,0,11.6,6.41,51.24,1.54,0.0,14.94,8.51
288,22,50.74,1.83,0,11.81,11.57,52.18,1.91,0.0,10.56,10.54
"(nan, nan)",25,53.09,1.69,0,12.54,8.52,57.89,0.92,0.0,11.78,7.67
349,4,51.0,1.66,0,13.86,8.66,51.88,1.31,0.0,13.0,8.74
245,5,52.38,1.48,0,12.74,8.7,54.63,1.49,0.0,13.75,8.7
61,37,52.95,1.54,0,12.05,8.1,54.09,1.51,0.3,13.35,8.23
"(nan, nan)",20,55.24,1.57,0,12.16,8.22,55.05,1.46,0.0,12.6,9.93
77,38,53.52,1.38,0,12.5,8.19,53.24,1.74,0.29,12.64,8.9
"(nan, nan)",35,53.25,1.77,3.86,13.33,8.07,55.35,1.67,0.0,12.13,0
216,20,51.76,1.62,0,11.92,9.36,52.46,1.76,0.0,12.29,10.16
54,33,53.25,1.55,0,14.16,8.22,51.57,1.85,0.29,16.58,7.81
"(nan, nan)",1,53.81,1.45,0,12.74,8.98,55.59,1.29,0.0,13.57,7.58
"(nan, nan)",14,54.9,1.43,3.51,13.67,7.65,54.37,1.36,0.0,13.51,0
"(nan, nan)",0,54.6,1.62,0,10.8,7.36,56.27,1.45,0.0,0,6.73
104,69,48.74,1.74,0,18.66,8.79,46.88,1.3,0.31,16.61,10.72
176,88,51.26,1.55,0,12.83,10.95,52.15,1.8,0.0,13.16,10.53
206,32,52.95,1.41,0,14.91,7.59,51.96,1.79,0.0,14.47,9.0
"(nan, nan)",27,53.28,1.83,3.68,13.03,8.02,50.78,1.9,0.0,12.46,0
171,61,52.54,1.62,0,11.7,10.65,52.69,1.72,0.0,11.94,8.66
"(nan, nan)",16,53.42,1.61,0,12.75,8.93,54.66,1.7,0.0,11.35,0
123,39,47.35,1.48,0,15.61,10.15,47.36,1.58,0.32,16.84,10.15
139,71,50.59,1.32,0,13.26,9.99,51.2,1.67,0.0,13.96,9.83
150,58,50.18,1.46,0,14.48,11.27,47.0,1.6,0.0,13.62,10.84
