;;Date;% par provenance;;;;;;;;;;;Simulé;;;;;NIF;;;;
;;;SM-BO;SM-MZ;MAT-NIF;SFA;DSP;C2S+M;C4;C5 SupA;C5 inf;C6 s+m;C6 inf;BPL ;MgO ;MO;SiO2 ;CO2;BPL ;MgO ;MO;SiO2 ;CO2
;;12-mai;4;17;1;13;15; -     ; -     ;7;17;25; -     ;53.07;1.67;3.31;11.66;8.6;51.2;1.62;;10.85;
;;13-mai;4;15; -     ;13;4; -     ; -     ;19;27;19; -     ;52;1.81;3.29;11.47;8.64;52.84;1.58;;10.92;
;;14-mai;3;20; -     ;13;7; -     ; -     ;19;15;23; -     ;53.92;1.68;3.51;12.33;8.26;50.65;1.61;;11.28;
;;15-mai;1;14; -     ;11;11; -     ; -     ;18;18;27; -     ;54.03;1.62;3.4;11.95;8.14;53.16;1.71;;9.84;
;;16-mai; -     ;8; -     ;15;9; -     ; -     ;22;16;29; -     ;54.06;1.61;3.3;11.61;8.22;52.39;1.82;;9.12;
;;17-mai; -     ;11; -     ;16;9;13; -     ;4;25;22; -     ;54.46;1.53;3.05;12.06;8.17;53.75;1.62;;11.52;
;;18-mai; -     ;10; -     ;16; -     ;20; -     ; -     ;29;21;4;54.99;1.54;3.5;12.95;7.83;55.16;1.26;;12.15;
;;19-mai; -     ;14; -     ;21; -     ;15; -     ; -     ;10;27;12;54.9;1.43;3.51;13.67;7.65;54.37;1.36;;13.51;
;;20-mai; -     ;14; -     ;31; -     ;3; -     ;14;10;22;6;53.43;1.67;3.52;12.74;8.52;53.77;1.53;;12.37;
;;21-mai; -     ;9; -     ;5; -     ;34; -     ;16;16;20; -     ;54.35;1.56;3.39;13.13;6.39;54.92;1.68;;11.46;
;;22-mai; -     ;1;10; -     ; -     ;37; -     ;19;13;20; -     ;54.02;1.55;3.12;13.08;6.57;54.88;1.67;;12.02;
;;23-mai;20;4; -     ;2; -     ;15; -     ;19;17;23; -     ;54.85;1.63;2.57;12.05;6.96;55.74;1.66;;12.83;
;;24-mai;20;13;5; -     ; -     ;16; -     ;8;21;18; -     ;54.46;1.64;2.51;12;8.17;54.92;1.6;;10.54;
;;25-mai;17;12;5; -     ; -     ;15; -     ; -     ;33;19; -     ;54.27;1.61;2.55;11.66;8.78;53.34;1.64;;11.35;
;;26-mai;6;18;4; -     ; -     ;31; -     ; -     ;27;8;7;53.92;1.57;3.03;13.45;8.77;54.79;1.64;;14.58;
;;27-mai;16;5; -     ; -     ;3;39; -     ; -     ;20;18; -     ;54.13;1.67;2.98;13.37;8.11;;;;;
;;28-mai;9;12;3; -     ; -     ;33; -     ; -     ;15;28; -     ;53.8;1.56;3;14.18;8.03;;;;;
;;29-mai;;;;;;;;;;;;;;;;;;;;;
;;30-mai;;;;;;;;;;;;;;;;;;;;;
;;31-mai;;;;;;;;;;;;;;;;;;;;;
